                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.1448,                0.95445,                0.92544,                 1.4016,                 1.4855,                0.92172,                0.34452,                0.61534,                0.54447,                0.29143,                 1.7605,                 1.4693,                 1.3424,                 1.6997,                 2.7204,                 1.1869,             0.00020459,             0.00020459,             0.00020459
                     39,                  1.233,                0.87824,                0.92995,                 1.5512,                 1.5275,                0.92775,                0.35541,                0.57428,                 0.5443,                0.29634,                 1.7637,                 1.4896,                 1.3283,                 1.6971,                 2.5723,                 1.2051,             0.00020272,             0.00020272,             0.00020272
                     40,                 1.1559,                0.91389,                0.94095,                  1.346,                 1.3879,                0.93117,                0.35541,                0.57428,                 0.5443,                0.29634,                 1.7637,                 1.4896,                 1.3283,                 1.6971,                 2.5723,                 1.2051,             0.00020046,             0.00020046,             0.00020046
                     41,                 1.3014,                 1.0144,                0.93607,                 1.5952,                 1.5572,                0.93536,                 0.3818,                0.61214,                0.51266,                0.27499,                 1.8294,                 1.5451,                 1.3512,                 1.7561,                 2.4681,                 1.2401,             0.00019783,             0.00019783,             0.00019783
                     42,                 1.3384,                 1.0172,                 1.0305,                 1.4969,                 1.7031,                 1.0221,                0.37362,                0.50731,                0.42204,                0.21756,                 1.9033,                  1.504,                 1.3911,                 1.7281,                 2.5157,                 1.2485,             0.00019481,             0.00019481,             0.00019481
                     43,                 1.1948,                0.92277,                0.94743,                 1.3983,                 1.4145,                0.94543,                0.37362,                0.50731,                0.42204,                0.21756,                 1.9033,                  1.504,                 1.3911,                 1.7281,                 2.5157,                 1.2485,             0.00019141,             0.00019141,             0.00019141
                     44,                 1.2264,                0.90496,                 0.9306,                 1.4639,                 1.4519,                0.94131,                0.35298,                0.58667,                0.48364,                 0.2472,                 1.8954,                 1.4557,                 1.4108,                 1.7621,                 2.4295,                 1.2652,             0.00018764,             0.00018764,             0.00018764
                     45,                 1.1826,                0.86357,                0.89494,                 1.5228,                 1.4007,                0.90484,                0.35298,                0.58667,                0.48364,                 0.2472,                 1.8954,                 1.4557,                 1.4108,                 1.7621,                 2.4295,                 1.2652,             0.00018348,             0.00018348,             0.00018348
                     46,                 1.1805,                0.86608,                0.91545,                 1.4268,                 1.3376,                0.90429,                0.62622,                 0.5414,                0.54339,                0.26564,                 1.8844,                 1.4273,                 1.3846,                 1.7664,                 2.3948,                 1.2779,             0.00017894,             0.00017894,             0.00017894
                     47,                 1.0632,                 0.8782,                0.90205,                  1.334,                 1.4557,                0.91565,                0.62622,                 0.5414,                0.54339,                0.26564,                 1.8844,                 1.4273,                 1.3846,                 1.7664,                 2.3948,                 1.2779,             0.00017402,             0.00017402,             0.00017402
                     48,                  1.078,                0.81537,                0.93502,                 1.2898,                 1.2588,                0.91685,                0.57792,                0.56439,                0.56909,                0.29101,                 1.8604,                 1.3813,                 1.3828,                 1.7509,                 2.3584,                  1.269,             0.00016872,             0.00016872,             0.00016872
                     49,                  1.165,                0.82976,                0.92214,                 1.4042,                 1.2631,                 0.9237,                0.57792,                0.56439,                0.56909,                0.29101,                 1.8604,                 1.3813,                 1.3828,                 1.7509,                 2.3584,                  1.269,             0.00016303,             0.00016303,             0.00016303
                     50,                 1.2747,                0.89245,                0.91087,                 1.5744,                 1.3221,                0.90589,                0.55786,                0.56665,                0.51982,                0.26113,                 1.8497,                 1.4492,                 1.3875,                 1.8044,                 2.3893,                 1.3056,             0.00015697,             0.00015697,             0.00015697
                     51,                 1.0432,                0.78404,                0.92981,                 1.2701,                 1.2795,                0.93517,                0.55786,                0.56665,                0.51982,                0.26113,                 1.8497,                 1.4492,                 1.3875,                 1.8044,                 2.3893,                 1.3056,             0.00014904,             0.00014904,             0.00014904
                     52,                 1.1575,                0.81028,                0.90725,                 1.4102,                 1.1606,                 0.9186,                0.53019,                0.63779,                 0.5294,                0.25448,                 1.8782,                 1.4952,                 1.4095,                 1.8577,                 2.3973,                 1.2989,             0.00014904,             0.00014904,             0.00014904
                     53,                 1.2254,                0.87333,                0.95407,                 1.4745,                 1.2892,                0.96655,                0.53019,                0.63779,                 0.5294,                0.25448,                 1.8782,                 1.4952,                 1.4095,                 1.8577,                 2.3973,                 1.2989,             0.00013952,             0.00013952,             0.00013952
                     54,                 1.0234,                0.74343,                0.88743,                 1.2855,                 1.1509,                0.89085,                 0.4858,                0.63754,                0.49596,                0.25647,                 1.8925,                 1.5151,                 1.4114,                 1.8883,                 2.4284,                 1.2763,                0.00013,                0.00013,                0.00013
                     55,                 1.0672,                0.76708,                0.87801,                 1.3888,                 1.2155,                0.87471,                 0.4858,                0.63754,                0.49596,                0.25647,                 1.8925,                 1.5151,                 1.4114,                 1.8883,                 2.4284,                 1.2763,             0.00012048,             0.00012048,             0.00012048
                     56,                 1.1946,                0.79816,                0.93691,                 1.4172,                 1.2129,                0.94513,                0.47975,                0.64807,                0.49548,                0.25129,                 1.8932,                 1.4973,                 1.4109,                 1.8753,                 2.4638,                 1.2729,             0.00011096,             0.00011096,             0.00011096
                     57,                 1.1384,                0.77333,                0.92267,                 1.3159,                 1.2599,                0.92135,                0.47975,                0.64807,                0.49548,                0.25129,                 1.8932,                 1.4973,                 1.4109,                 1.8753,                 2.4638,                 1.2729,             0.00010144,             0.00010144,             0.00010144
                     58,                 0.9759,                0.74696,                0.86592,                 1.1928,                 1.1779,                 0.8742,                0.47849,                0.57811,                0.50611,                0.26991,                 1.8858,                 1.4898,                 1.4038,                  1.855,                 2.4139,                 1.2704,             9.1923e-05,             9.1923e-05,             9.1923e-05
                     59,                 1.0755,                0.80713,                0.89481,                 1.2917,                 1.1992,                0.88622,                0.47849,                0.57811,                0.50611,                0.26991,                 1.8858,                 1.4898,                 1.4038,                  1.855,                 2.4139,                 1.2704,             8.2404e-05,             8.2404e-05,             8.2404e-05
                     60,                 1.1388,                0.76918,                0.91829,                 1.3136,                 1.2125,                0.92579,                0.46987,                0.53158,                0.53635,                0.27089,                 1.9137,                 1.4764,                 1.4394,                 1.8366,                 2.4106,                 1.2879,             7.2885e-05,             7.2885e-05,             7.2885e-05
                     61,                 1.0452,                0.74869,                0.91141,                 1.3106,                 1.1523,                0.89121,                0.46987,                0.53158,                0.53635,                0.27089,                 1.9137,                 1.4764,                 1.4394,                 1.8366,                 2.4106,                 1.2879,             6.3365e-05,             6.3365e-05,             6.3365e-05
                     62,                 1.0935,                0.73906,                0.95922,                 1.2792,                 1.1829,                0.94896,                0.71717,                0.42341,                0.51981,                0.26249,                 1.9293,                 1.4631,                 1.4441,                 1.8319,                 2.4054,                 1.2881,             5.3846e-05,             5.3846e-05,             5.3846e-05
                     63,                 1.0194,                0.71485,                0.87197,                 1.2193,                 1.0933,                0.88134,                0.71717,                0.42341,                0.51981,                0.26249,                 1.9293,                 1.4631,                 1.4441,                 1.8319,                 2.4054,                 1.2881,             4.4327e-05,             4.4327e-05,             4.4327e-05
                     64,                 1.0412,                0.74646,                0.89116,                 1.2533,                 1.2786,                   0.89,                0.72483,                0.42014,                 0.5239,                0.26749,                 1.9292,                 1.4329,                 1.4455,                 1.8305,                 2.3794,                  1.299,             3.4808e-05,             3.4808e-05,             3.4808e-05
                     65,                 1.0033,                0.73967,                0.91108,                 1.2148,                 1.1676,                0.93185,                0.72483,                0.42014,                 0.5239,                0.26749,                 1.9292,                 1.4329,                 1.4455,                 1.8305,                 2.3794,                  1.299,             2.5288e-05,             2.5288e-05,             2.5288e-05
