                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.1239,                0.90938,                0.97492,                 1.2951,                 2.0005,                0.96416,                 0.4188,                0.29228,                0.25227,                0.11707,                 1.8423,                 2.0852,                 1.3879,                 1.8837,                 3.4674,                 1.3135,             0.00019592,             0.00019592,             0.00019592
                     34,                 1.1554,                0.89238,                0.94106,                 1.3975,                 1.6913,                0.93059,                 0.4188,                0.29228,                0.25227,                0.11707,                 1.8423,                 2.0852,                 1.3879,                 1.8837,                 3.4674,                 1.3135,             0.00019595,             0.00019595,             0.00019595
                     35,                 1.3095,                 0.9381,                0.93767,                 1.6108,                 1.6292,                0.92466,                0.46377,                0.42542,                0.34173,                0.12838,                 1.8664,                 2.0697,                 1.4066,                  1.874,                 3.3947,                 1.3068,             0.00019562,             0.00019562,             0.00019562
                     36,                 1.1804,                0.86907,                0.94103,                 1.4377,                 1.5761,                0.92037,                0.52804,                0.40863,                0.42985,                0.18772,                 1.8785,                 2.0408,                 1.4249,                 1.9058,                  3.276,                  1.319,             0.00019493,             0.00019493,             0.00019493
                     37,                  1.217,                0.91793,                0.94788,                 1.4339,                 1.6768,                0.92521,                0.52804,                0.40863,                0.42985,                0.18772,                 1.8785,                 2.0408,                 1.4249,                 1.9058,                  3.276,                  1.319,             0.00019388,             0.00019388,             0.00019388
                     38,                 1.2304,                 0.9129,                0.99086,                 1.3857,                 1.7948,                0.96039,                0.53783,                0.33225,                0.43939,                0.20076,                 1.8273,                  2.011,                 1.3858,                 1.8675,                 3.1146,                 1.3086,             0.00019248,             0.00019248,             0.00019248
                     39,                 1.1637,                0.88309,                0.96636,                 1.3251,                 1.6233,                0.93564,                0.54093,                 0.3669,                0.48482,                 0.2243,                 1.7368,                 1.9627,                 1.3478,                 1.7281,                 3.0506,                 1.2409,             0.00019072,             0.00019072,             0.00019072
                     40,                 1.2152,                 0.8383,                0.96244,                 1.4326,                 1.6092,                0.93529,                0.54093,                 0.3669,                0.48482,                 0.2243,                 1.7368,                 1.9627,                 1.3478,                 1.7281,                 3.0506,                 1.2409,              0.0001886,              0.0001886,              0.0001886
                     41,                 1.2079,                0.81883,                0.93641,                 1.4784,                 1.4955,                0.91877,                0.57971,                0.40238,                0.44907,                0.21053,                 1.7471,                 1.9438,                 1.3478,                 1.7615,                 2.8783,                  1.251,             0.00018612,             0.00018612,             0.00018612
                     42,                 1.1732,                0.85042,                0.98601,                   1.38,                 1.5774,                0.98321,                0.60347,                0.28734,                 0.5263,                 0.2404,                 1.8168,                 1.8589,                 1.3644,                 1.8266,                 2.7225,                 1.2659,             0.00018328,             0.00018328,             0.00018328
                     43,                 1.0693,                0.77526,                 0.9282,                 1.2491,                 1.4495,                0.91973,                0.60347,                0.28734,                 0.5263,                 0.2404,                 1.8168,                 1.8589,                 1.3644,                 1.8266,                 2.7225,                 1.2659,             0.00018008,             0.00018008,             0.00018008
                     44,                 1.0615,                0.78324,                0.92991,                 1.3143,                  1.452,                0.92019,                 0.6777,                0.27694,                0.42984,                0.21249,                 1.8875,                 1.7392,                 1.3723,                 1.8615,                 2.7044,                 1.2777,             0.00017653,             0.00017653,             0.00017653
                     45,                 1.0789,                0.77189,                 0.9346,                 1.2794,                   1.44,                0.92755,                 0.6777,                0.27694,                0.42984,                0.21249,                 1.8875,                 1.7392,                 1.3723,                 1.8615,                 2.7044,                 1.2777,             0.00017262,             0.00017262,             0.00017262
                     46,                 1.0552,                0.76386,                0.91673,                 1.3505,                 1.3981,                0.90287,                0.82209,                0.26985,                0.41982,                0.20329,                 1.9231,                 1.7065,                 1.3874,                 1.8599,                 2.8156,                 1.2837,             0.00016834,             0.00016834,             0.00016834
                     47,                 1.0066,                0.75731,                0.91222,                 1.2785,                 1.3584,                0.89873,                0.82209,                0.26985,                0.41982,                0.20329,                 1.9231,                 1.7065,                 1.3874,                 1.8599,                 2.8156,                 1.2837,             0.00016372,             0.00016372,             0.00016372
